epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
0,0.595,76.4209,3.0388,-235.349174282176
5,4.2046,42.9443,2.8514,-174.0486789739741
10,10.0496,34.4539,1.8176,-103.09098264077983
15,17.9536,32.105,0.9917,-50.185363864916944
20,25.7382,30.1877,0.8255,-32.363353259117595
25,30.39,29.427,0.737,-22.835560471543985
30,34.2963,28.5954,0.7307,-18.097445972432624
35,37.7119,28.2942,0.7135,-13.963700771952759
40,39.5608,27.6765,0.6943,-10.551201019615227
45,39.9989,27.5206,0.7002,-10.273009972943662
50,41.0147,27.3824,0.6733,-7.838452532721347
55,41.5553,26.9475,0.6726,-6.727584720421649
60,41.4472,26.8232,0.6835,-7.203555734117962
65,41.4393,26.5352,0.6626,-5.70355569339868
70,41.8895,26.6402,0.7067,-7.783635661713062
75,42.3357,26.3832,0.6634,-4.789589444572064
80,42.5832,26.1304,0.6565,-3.8604070965203587
85,42.7946,26.0432,0.6556,-3.513640496820722
90,42.8804,26.0188,0.6507,-3.1526669560747576
95,42.8067,25.9275,0.6648,-3.8149849046378974
100,42.7175,25.7469,0.65,-2.855215327566859
105,42.7219,25.7033,0.6463,-2.5956280250520165
110,42.8968,25.6425,0.6668,-3.4316858982150946
115,42.9156,25.5995,0.6433,-2.129911178533313
120,42.7659,25.5097,0.6464,-2.283809835921602
125,43.209,25.5326,0.6408,-1.662029287358609
130,43.0711,25.3955,0.6542,-2.274069925913666
135,43.2358,25.3713,0.6441,-1.5778546384859844
140,42.9389,25.3944,0.6511,-2.2194203916217488
145,42.9797,25.262,0.6372,-1.2698710553169954
150,43.0798,25.2231,0.6467,-1.6261294585491584
155,42.9499,25.1659,0.6459,-1.6079750365826497
160,42.887,25.0864,0.6548,-2.0077273478982103
165,43.1997,25.1546,0.638,-0.9752804543173843
170,43.0472,25.0131,0.6402,-1.0095747392225818
175,43.2333,25.0691,0.64,-0.9278199651826723
180,43.0747,24.9877,0.6424,-1.064748175017665
185,42.9762,24.9334,0.647,-1.3063038833207232
190,43.0464,24.9187,0.6429,-1.0138654686095225
195,43.0438,24.8848,0.6407,-0.852219554942069
200,43.1585,24.8995,0.6428,-0.8888717867914465
205,43.107,24.8714,0.6377,-0.6246993829456188
210,43.093,24.8169,0.6417,-0.7654241647036625
215,42.9974,24.7981,0.6355,-0.49361831998544264
220,43.0502,24.8126,0.6323,-0.3046971591151489
225,43.0162,24.806,0.6438,-0.9219580611946787
230,43.0581,24.793,0.6317,-0.23852619780279039
235,43.108,24.7884,0.6373,-0.4825990816095582
240,42.9502,24.7775,0.6373,-0.5961786423072076
245,43.0381,24.7833,0.6407,-0.7096000303576204
250,43.0702,24.7458,0.6356,-0.36323395999523916
255,43.0859,24.7415,0.6408,-0.6149531413685903
260,43.0002,24.75,0.6384,-0.5725627737339612
265,43.0039,24.7244,0.6434,-0.7927955043862548
270,42.9774,24.7418,0.6351,-0.407484381534607
275,42.9505,24.7203,0.6393,-0.6170924860233608
280,43.0034,24.7378,0.6328,-0.26056782890423785
285,42.9997,24.7453,0.6363,-0.45677728733915673
290,43.0054,24.7178,0.6409,-0.6517794486962071
295,43.0468,24.7299,0.637,-0.4322652443165739
299,43.015,24.7245,0.6415,-0.68488019685105

BEST(epoch 230),43.0581,24.793,0.6317,-0.23852619780279039
